Fold,Iteration,Test_AUC,Best_params,Best_epoch
Fold_4,88,0.8112895124922523,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",39
Fold_4,89,0.8157495809454605,"{'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",87
Fold_4,90,0.627647981973785,"{'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",26
Fold_4,91,0.6105739902235874,"{'nz': 100, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [256, 28]}",9
Fold_4,92,0.8249809555359471,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",59
Fold_4,93,0.6276669882725794,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [256, 28]}",37
Fold_4,94,0.6013998253557766,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [256, 28]}",9
Fold_4,95,0.5,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",49
Fold_4,96,0.6255690440060698,"{'nz': 256, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",41
Fold_4,97,0.6150226090992084,"{'nz': 100, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",47
Fold_4,98,0.6208317431142241,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",38
Fold_4,99,0.6242768446796103,"{'nz': 100, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [256, 28]}",29
Fold_5,100,0.7717615390146968,"{'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",47
