nz,d_dim,lr,lr_adv,lam,batch_size,Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Train total_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Val critic_loss,Val gen_loss,Val total_loss,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss,Iteration
256,128,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.4909593058086033,0.1661931818181818,0.2065423087320897,0.9403076923076924,0.1160124515982081,0.0232053132643076,40.7407393022017,0.7123718976974487,0.7204081099163403,0.5396768503781194,0.5625138796357984,0.2138866719872306,0.5066162570888468,0.1355589276681841,0.106751337647438,-0.106751337647438,0.5549163818359375,0.5548096299171448,0.4562637084909151,0.5225225225225225,0.1497326203208556,0.0866873065015479,0.5490196078431373,0.107192650437355,-0.107192650437355,0.6976544260978699,0.6975472569465637,<built-in function iter>
256,128,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5017236202891007,0.2737215909090909,0.2101035068747103,0.8148591971240263,0.1205994502083887,0.0153810701586983,40.418858432769774,0.535583050142635,0.5435467937426133,0.6115796297711761,0.7443926271374639,0.2701331642358909,0.398876404494382,0.2042186001917545,0.0560762993991375,-0.0560762993991375,0.3820990920066833,0.3820430040359497,0.4374983075937141,0.524024024024024,0.0864553314121037,0.0464396284829721,0.625,0.0563580878078937,-0.0563580878078937,1.0382471084594729,1.0381907224655151,<built-in function iter>
256,128,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5017312553236424,0.2065340909090909,0.2094537220492499,0.8958837772397095,0.1185897435897435,-0.036313897608356,38.68009385195646,0.5299417251890356,0.5375649466644633,0.5829478815899957,0.545414168332223,0.2370480805068953,0.6103646833013435,0.1470860314523589,-0.1089566051959991,0.1089566051959991,0.3693955242633819,0.3695044815540313,0.4593596837231133,0.53003003003003,0.128133704735376,0.0712074303405572,0.6388888888888888,-0.1091495752334594,0.1091495752334594,0.995478093624115,0.9955872297286988,<built-in function iter>
256,128,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5025772191688574,0.4321732954545454,0.2004200420042004,0.6091185410334347,0.1199425424946133,0.0675678352063352,38.04876168857921,0.5374518735842271,0.5449523840427399,0.6005643750938607,0.7597157450588496,0.2537931034482759,0.3552123552123552,0.1974248927038626,0.1930634677410125,-0.1930634677410125,0.3642022013664245,0.364009141921997,0.4162597369774978,0.5180180180180181,0.1108033240997229,0.0619195046439628,0.5263157894736842,0.1918777525424957,-0.1918777525424957,0.9811445474624634,0.9809526801109314,<built-in function iter>
256,128,0.0001,2.0000000000000003e-06,0.001,"[256, 28]",0,0.4922607140230217,0.1745738636363636,0.2087418300653594,0.9330493000608644,0.1175162897661939,-0.0005558765408667,41.22243538769808,0.5487387944351543,0.5568634838927877,0.5962720683200482,0.6728847435043305,0.249617931737137,0.4613935969868173,0.1710893854748603,0.0196177586913108,-0.0196177586913108,0.3820916712284088,0.3820720613002777,0.4426251703688995,0.5255255255255256,0.1123595505617977,0.0619195046439628,0.6060606060606061,0.019791655242443,-0.019791655242443,1.0357458591461182,1.0357260704040527,<built-in function iter>
100,256,0.0001,2e-05,0.001,"[256, 28]",0,0.4922370786683022,0.2021306818181818,0.2056286239570075,0.895871842267406,0.1161434619378544,0.1026077646762132,41.06049926931208,0.5591422481970354,0.5672399886217985,0.576754575820337,0.7446147013102377,0.2513020833333333,0.3648393194706994,0.1916583912611718,0.4050016403198242,-0.4050016403198242,0.3660562634468078,0.3656512498855591,0.4386807354520755,0.496996996996997,0.640171858216971,0.9226006191950464,0.4901315789473684,0.406161367893219,-0.406161367893219,0.9749637842178344,0.974557638168335,<built-in function iter>
100,256,0.0001,2e-05,0.001,"[256, 28]",0,0.4970952521743415,0.1433948863636363,0.2086477265271307,0.9754601226993864,0.1168172801410623,-0.0598072182725776,38.06912334615534,0.5606745627793399,0.5681748992356386,0.6005196641009019,0.6095936042638241,0.25,0.548689138576779,0.161878453038674,-0.2043139636516571,0.2043139636516571,0.3653914034366607,0.3655957281589508,0.4622751356181571,0.524024024024024,0.1409214092140921,0.0804953560371517,0.5652173913043478,-0.2040080726146698,0.2040080726146698,0.8786833882331848,0.878887414932251,<built-in function iter>
100,256,0.0001,2e-05,0.001,"[256, 28]",0,0.4986737740212227,0.4955965909090909,0.1969696969696969,0.5190703218116806,0.1215461903432877,0.02279864766381,36.992619306390935,0.612505890564485,0.6197918354337866,0.5630119607330877,0.6351321341328003,0.2260951483749411,0.4606525911708253,0.149812734082397,0.1248515844345092,-0.1248515844345092,0.3771876394748688,0.3770627975463867,0.4545667891216637,0.521021021021021,0.1260273972602739,0.0712074303405572,0.5476190476190477,0.1246430575847625,-0.1246430575847625,0.8038240671157837,0.8036994338035583,<built-in function iter>
100,256,0.0001,2e-05,0.001,"[256, 28]",0,0.497734841756725,0.4995738636363636,0.1974943052391799,0.517921146953405,0.1220095693779904,0.04373190917752,36.01957784999501,0.5164011787284505,0.5235020762226799,0.5930940350639222,0.7061958694203864,0.2427017744705209,0.4092664092664093,0.1724979658258747,0.2488285899162292,-0.2488285899162292,0.3619384467601776,0.3616896271705627,0.4505411187031203,0.5195195195195195,0.1836734693877551,0.1114551083591331,0.5217391304347826,0.2490442991256714,-0.2490442991256714,1.0167261362075806,1.016477108001709,<built-in function iter>
100,256,0.0001,2e-05,0.001,"[256, 28]",0,0.5053880332915065,0.7740767045454545,0.1446625436945415,0.1640243902439024,0.1293891293891294,0.0607401964339343,38.85480189756914,0.5445806698365645,0.5522476777770304,0.5794191639024964,0.5829447035309794,0.2415185783521809,0.5630885122410546,0.1537275064267352,0.3327175974845886,-0.3327175974845886,0.3680136203765869,0.3676809072494507,0.460469902246613,0.524024024024024,0.1501340482573726,0.0866873065015479,0.56,0.3333767056465149,-0.3333767056465149,0.9980747699737548,0.997741401195526,<built-in function iter>
